code,secteur_chefferie
Code,Secteur/Chefferie
23201,Territoire de Katako-Kombe
23201401,Secteur de Basambala
23201402,Secteur de Batetela arabisés (Lomami)
23201403,Secteur de Djalo
23201404,Secteur de Lonya
23201405,Secteur de Lukumbe
23201406,Secteur de Ngandu Katako (Est/Ouest)
23201407,Secteur d'Ukulungu
23201408,Secteur de Watambulu-Nord
23201409,Secteur de Watambulu-Sud
23202,Territoire de Kole
23202401,Secteur d'Atshuru
23202402,Secteur de Bankutsu-Dibele
23202403,Secteur de Bankutsu-Lukenie
23202404,Secteur de Basho
23202405,Secteur de Batetela-Dibele
23202406,Secteur d'Ohindo
23203,Territoire de Lodja
23203401,Secteur d'Ahamba-Mange
23203402,Secteur de Batetela-Lukenie
23203403,Secteur de Kondo-Tshumbe
23203404,Secteur de Lukfungu
23203405,Secteur de Lutshimba-Eduo-Piete-Kolombe
23203406,"Secteur de Nambelo-Lohembe (Nambelu-
Luhembe)"
23203407,Secteur d'Olemba
23203408,Secteur de Vunge (Vungi)
23203409,Secteur de Watambulu
23204,Territoire de Lomela
23204301,Chefferie de Djonga
23204401,Secteur de Bahamba 1
23204402,Secteur de Bahamba 2
23204403,Secteur de Bakela
23204404,Secteur de Batetela-Lomela
23204405,Secteur d'Okutu
23205,Territoire de Lubefu
23205401,Secteur de Basonge
23205402,Secteur de Mondja-Ngandu
23205403,Secteur de Ndjovu
23205404,Secteur de Ngandu-Wuma
23206,Territoire de Lusambo
23206401,Secteur de Basonge
23206402,Secteur de Batetela
23206403,Sec. de Entre Kunduye Mal (E.K.M.)
23206404,Sec. de Entre Lubi Kunduye (E.L.K.)
23206405,Secteur de Kashindi
23206406,Secteur de Lubi
23206407,Secteur de MPania-Mutombo
23206408,Secteur de Sankuru
24,Kasai Oriental
24201,Territoire de Kabeya-Kamwanga
24201401,Secteur de Kalela
24201402,Secteur de Lac Munkamba
24201403,Secteur de Mpemba
24201404,Secteur de Ndomba
24202,Territoire de Katanda
24202401,Secteur de Baluba-Lubilandji
24202402,Secteur de Bena-Tshitolo
24202403,Secteur de Mutuayi
24202404,Secteur de Nsangu
24203,Territoire de Lupatapata
24203401,Secteur de Kabala
24203402,Secteur de Mudiba
24203403,Secteur de Mukumbi
24203404,Secteur de Mulenda
24204,Territoire de Miabi
24204401,Secteur de Kakangayi
24204402,Secteur de Movo-Nkatshia
24204403,Secteur de Tshijiba
24204404,Secteur de Tshilundu
24205,Territoire de Tshilenge
24205301,Chefferie de Kampatshi
24205401,Secteur de Kalelu
24205402,Secteur de Kalonji-Sud
24205403,Secteur de Lukalaba
24205404,Secteur de Tshipuka (Tshouka)
25,Kasai
25201,Territoire de Dekese
25201301,Chefferie de Dekese-Ikolombe-Isolu
25201302,Chefferie de Yaelima
25202,Territoire d'Ilebo
25202401,Secteur de Basongo
25202402,Secteur de Malu-Malu
25202403,"Secteur de Mapangu (Ell: Entre Loange-
Lumbundji)"
25202404,Secteur de Sud-Banga
25203,Territoire d'Ilebo
25203401,Secteur de Bakwa-Nyambi
25203402,Secteur de Bapende
25203403,Secteur de Kasadi-Sadi
25203404,Secteur de Kasai-Kabambaie
25203405,Secteur de Kasai-Longatshimo
25203406,Secteur de Kasai-Lunyeka
25203407,Secteur de Lovua-Longatshimo
25203408,Secteur de Lovua-Lushiku
25203409,Secteur de Tshikapa
25204,Territoire de Luebo
25204401,Secteur de Luebo-Kabambaie
25204402,Secteur de Luebo-Lulengele
25204403,Secteur de Luebo-Wedi
25204404,Secteur de NDjoko-Punda
25205,Territoire de Mweka
25205301,Chefferie de Bakuba
26,Kasai Central
26201,Territoire de Demba
26201401,Secteur de Bena Mamba
26201402,Secteur de Diofwa
26201403,Secteur de Lombelo
26201404,Secteur de Lusonge
26201405,Secteur de Mwanza-Ngoma
26201406,Secteur de Tshibote
26201407,Secteur de Tshibungu
26202,Territoire de Dibaya
26202401,Secteur de Dibanda
